t: 95060r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95070r: 2, x: 481.0000000000, p: 3.1265001297, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8991007805
t: 95080r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95090r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95100r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 95110r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 95120r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 95130r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95140r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 95150r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95160r: 2, x: 483.0000000000, p: 3.1395001411, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8995001316
t: 95170r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95180r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95190r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95200r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95210r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 95220r: 2, x: 481.0000000000, p: 3.1265001297, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8738994598
t: 95230r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95240r: 2, x: 482.0000000000, p: 3.1330001354, v: 19.9951171875, d: 0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.9055969715
t: 95250r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95260r: 3, x: 484.0000000000, p: 3.1460001469, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.9060001373
t: 95270r: 4, x: 483.0000000000, p: 3.1395001411, v: 20.0012207031, d: 0.0126007696, a: 3.0000000000, dd: -0.3599999845, res: -2.7921009064
t: 95280r: 6, x: 483.0000000000, p: 3.1395001411, v: 40.0024414062, d: 0.0252015392, a: 5.0000000000, dd: -0.5999999642, res: -2.5647017956
